,kenteken,voertuigsoort,merk,handelsbenaming,vervaldatum_apk,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,europese_voertuigcategorie,plaats_chassisnummer,type_gasinstallatie,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,vervaldatum_apk_dt,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,maximum_last_onder_de_vooras_sen_tezamen_koppeling,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,maximum_massa_samenstelling,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd,catalogusprijs,type,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,zuinigheidsclassificatie,maximum_ondersteunende_snelheid,maximale_constructiesnelheid
451,02RRKH,Personenauto,BMW,3ER REIHE,20230604,20210826,cabriolet,BLAUW,Niet geregistreerd,6,1558,1658,20000420,20050715,Geen verstrekking in Open Data,Ja,2,4,M1,op r. schroefveerkoker onder motorkap,G3 gasinstallatie,0.08,272,Nee,Ja,Nee,2022,Geen oordeel,07,Ja,2023-06-04T00:00:00.000,2021-08-26T00:00:00.000,2000-04-20T00:00:00.000,2005-07-15T00:00:00.000,0,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,449,0,1960,0,3635,15917,4,2494,1960,720,1600,,,e1*98/14*0146*00,BR31,11,0,,,
452,02RRTS,Personenauto,BMW,5ER REIHE,20221105,20211105,stationwagen,BLAUW,Niet geregistreerd,6,1565,1665,20050727,20050727,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.11,289,Nee,Nee,Nee,2021,Logisch,00,Ja,2022-11-05T00:00:00.000,2021-11-05T00:00:00.000,2005-07-27T00:00:00.000,2005-07-27T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,484,0,2190,0,4250,21817,5,2996,2190,750,2000,83311,,e1*2001/116*0230*05,NL71,32,0,D,,
453,02RTGP,Personenauto,BMW,1ER REIHE,20230406,20070515,hatchback,BLAUW,Niet geregistreerd,4,1180,1280,20050823,20050823,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.07,266,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-04-06T00:00:00.000,2007-05-15T00:00:00.000,2005-08-23T00:00:00.000,2005-08-23T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,423,0,1705,0,2980,7369,5,1596,1705,635,1200,,,e1*2001/116*0287*05,UF11,01,0,D,,
454,02RTL5,Personenauto,BMW,M3,20230530,20220420,cabriolet,BLAUW,Niet geregistreerd,6,1630,1730,20020423,20110727,Geen verstrekking in Open Data,Ja,2,4,M1,op r. schroefveerkoker onder motorkap,,0.15,273,Nee,Nee,Nee,2022,Geen oordeel,05,Ja,2023-05-30T00:00:00.000,2022-04-20T00:00:00.000,2002-04-23T00:00:00.000,2011-07-27T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,449,0,2100,0,0,24549,4,3246,2100,,,,,e1*98/14*0150*03,BR91,00,0,G,,
455,02RXBR,Personenauto,BMW,5ER REIHE,20230223,20200611,sedan,BLAUW,Niet geregistreerd,6,1470,1570,20050930,20050930,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.10,289,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-02-23T00:00:00.000,2020-06-11T00:00:00.000,2005-09-30T00:00:00.000,2005-09-30T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,484,0,2055,0,4055,20080,5,2497,2055,750,2000,77000,,e1*2001/116*0230*06,NE51,02,0,D,,
456,02RZFP,Personenauto,BMW,3ER REIHE,20221209,20200729,sedan,BLAUW,Niet geregistreerd,6,1525,1625,20051013,20051013,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.10,276,Nee,Ja,Nee,2021,Logisch,00,Nee,2022-12-09T00:00:00.000,2020-07-29T00:00:00.000,2005-10-13T00:00:00.000,2005-10-13T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,452,0,2070,0,3945,19320,5,2993,2070,750,1800,70902,,e1*2001/116*0308*03,VC91,02,0,E,0.00,
457,02SBTH,Personenauto,BMW,1ER REIHE,20230408,20200610,hatchback,BLAUW,Niet geregistreerd,4,1235,1335,20051116,20051116,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.08,266,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-04-08T00:00:00.000,2020-06-10T00:00:00.000,2005-11-16T00:00:00.000,2005-11-16T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,423,0,1760,0,3035,8959,5,1995,1760,665,1200,36602,,e1*2001/116*0287*07,UF51,01,0,D,,
458,02SBVZ,Personenauto,BMW,3ER REIHE,20220304,20220716,stationwagen,BLAUW,Niet geregistreerd,4,1495,1595,20051115,20051115,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.08,276,Ja,Ja,Nee,2022,Onlogisch,04,Nee,2022-03-04T00:00:00.000,2022-07-16T00:00:00.000,2005-11-15T00:00:00.000,2005-11-15T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,452,0,2060,0,3735,15033,5,1995,2060,750,1600,55328,,e1*2001/116*0308*03,VU31,12,0,D,0.00,
459,02SGFJ,Personenauto,BMW,7ER REIHE,20230601,20220706,sedan,BLAUW,Niet geregistreerd,8,1885,1985,20060105,20060105,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.14,299,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-06-01T00:00:00.000,2022-07-06T00:00:00.000,2006-01-05T00:00:00.000,2006-01-05T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,504,0,2490,0,4690,35081,5,4799,2490,750,2100,131497,,e1*2001/116*0172*08,HL81,31,0,E,,
460,02SGGN,Personenauto,BMW,1ER REIHE,20230801,20140725,hatchback,BLAUW,Niet geregistreerd,4,1250,1350,20060106,20060106,Geen verstrekking in Open Data,Ja,4,4,M1,op r. schroefveerkoker onder motorkap,,0.08,266,Nee,Nee,Nee,2022,Logisch,00,Ja,2023-08-01T00:00:00.000,2014-07-25T00:00:00.000,2006-01-06T00:00:00.000,2006-01-06T00:00:00.000,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,0,0,423,0,1775,0,3050,9739,5,1995,1775,665,1200,39434,,e1*2001/116*0287*08,UF51,02,0,D,,
