,kenteken,voertuigsoort,merk,handelsbenaming,datum_tenaamstelling,inrichting,eerste_kleur,tweede_kleur,aantal_cilinders,massa_ledig_voertuig,massa_rijklaar,datum_eerste_toelating,datum_eerste_tenaamstelling_in_nederland,wacht_op_keuren,wam_verzekerd,aantal_deuren,aantal_wielen,afstand_hart_koppeling_tot_achterzijde_voertuig,afstand_voorzijde_voertuig_tot_hart_koppeling,lengte,breedte,europese_voertuigcategorie,technische_max_massa_voertuig,volgnummer_wijziging_eu_typegoedkeuring,vermogen_massarijklaar,wielbasis,export_indicator,openstaande_terugroepactie_indicator,taxi_indicator,maximum_massa_samenstelling,jaar_laatste_registratie_tellerstand,tellerstandoordeel,code_toelichting_tellerstandoordeel,tenaamstellen_mogelijk,datum_tenaamstelling_dt,datum_eerste_toelating_dt,datum_eerste_tenaamstelling_in_nederland_dt,api_gekentekende_voertuigen_assen,api_gekentekende_voertuigen_brandstof,api_gekentekende_voertuigen_carrosserie,api_gekentekende_voertuigen_carrosserie_specifiek,api_gekentekende_voertuigen_voertuigklasse,plaats_chassisnummer,vervaldatum_apk,vervaldatum_apk_dt,type_gasinstallatie,maximum_last_onder_de_vooras_sen_tezamen_koppeling,bruto_bpm,aantal_zitplaatsen,cilinderinhoud,toegestane_maximum_massa_voertuig,maximum_massa_trekken_ongeremd,maximum_trekken_massa_geremd,catalogusprijs,typegoedkeuringsnummer,variant,uitvoering,aantal_rolstoelplaatsen,maximum_ondersteunende_snelheid,zuinigheidsclassificatie,type,registratie_datum_goedkeuring_afschrijvingsmoment_bpm,registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
394,03TXTR,Personenauto,OPEL,CORSA,20201124,hatchback,ROOD,Niet geregistreerd,4,1060,1160,20070228,20070228,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,1605,0,0.05,251,Nee,Nee,Nee,2455,2022,Logisch,00,Ja,2020-11-24T00:00:00.000,2007-02-28T00:00:00.000,2007-02-28T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230330,2023-03-30T00:00:00.000,,,2824,5,1229,1605,500,850,15690,e1*2001/116*0379*02,PB11,1A05A7JBDC5,0,,B,,,
395,03UT61,Personenauto,OPEL,KADETT COUPE,19981107,Niet geregistreerd,ROOD,Niet geregistreerd,4,762,862,19780616,19780616,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,240,Nee,Nee,Nee,0,,Niet geregistreerd,NG,Ja,1998-11-07T00:00:00.000,1978-06-16T00:00:00.000,1978-06-16T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,19980526,1998-05-26T00:00:00.000,,,,,,,,,,,,,,,,,,
396,03VR95,Personenauto,OPEL,ASCONA 19,19970428,Niet geregistreerd,ROOD,Niet geregistreerd,4,950,1050,19780606,19780606,Geen verstrekking in Open Data,Nee,4,4,0,0,0,0,M1,0,0,0.00,252,Nee,Nee,Nee,0,,Niet geregistreerd,NG,Nee,1997-04-28T00:00:00.000,1978-06-06T00:00:00.000,1978-06-06T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,19970629,1997-06-29T00:00:00.000,,,,,,,,,,,,,,,,,,
397,03VT28,Personenauto,OPEL,KADETT COUPE,20090516,Niet geregistreerd,ROOD,Niet geregistreerd,4,906,1006,19780726,19780726,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,240,Nee,Nee,Nee,0,2011,Geen oordeel,01,Ja,2009-05-16T00:00:00.000,1978-07-26T00:00:00.000,1978-07-26T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20130416,2013-04-16T00:00:00.000,,0,,,,,,,,,,,,,,,,
398,03VV11,Personenauto,OPEL,KADETT,20170401,Niet geregistreerd,ROOD,Niet geregistreerd,4,745,845,19780623,19780623,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,240,Nee,Nee,Nee,0,2015,Niet geregistreerd,NG,Ja,2017-04-01T00:00:00.000,1978-06-23T00:00:00.000,1978-06-23T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20101001,2010-10-01T00:00:00.000,,,,,,,,,,,,,,,,,,
399,03XBVF,Personenauto,OPEL,GT,20141010,cabriolet,ROOD,Niet geregistreerd,4,1306,1406,20070402,20070402,Geen verstrekking in Open Data,Ja,2,4,0,0,410,0,M1,1625,0,0.14,242,Nee,Nee,Nee,0,2021,Logisch,00,Ja,2014-10-10T00:00:00.000,2007-04-02T00:00:00.000,2007-04-02T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. balk onder motorkap,20221205,2022-12-05T00:00:00.000,,,10598,2,1998,1625,,,41548,e13*2001/116*0170*01,ABAA,ABBAABBAA,0,,F,,,
400,03XFZL,Personenauto,OPEL,CORSA,20210911,MPV,ROOD,Niet geregistreerd,4,1040,1140,20070504,20070504,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,1585,0,0.06,251,Nee,Nee,Nee,2590,2022,Logisch,00,Ja,2021-09-11T00:00:00.000,2007-05-04T00:00:00.000,2007-05-04T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230716,2023-07-16T00:00:00.000,,,3848,5,1364,1585,500,1000,18092,e1*2001/116*0379*03,FC11,1A03A5KBCC5,0,0.00,C,,,
401,03XLBV,Personenauto,OPEL,AGILA,20200704,MPV,ROOD,Niet geregistreerd,4,955,1055,20070630,20070630,Geen verstrekking in Open Data,Ja,4,4,0,0,354,0,M1,1450,0,0.06,236,Nee,Nee,Nee,2127,2022,Logisch,00,Ja,2020-07-04T00:00:00.000,2007-06-30T00:00:00.000,2007-06-30T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,r. tegen schutbord onder motorkap,20230326,2023-03-26T00:00:00.000,,,2112,5,1229,1450,350,650,11410,e1*98/14*0141*11,AE11,1A06A4DCDA5,0,,D,,,
402,03XNS1,Personenauto,OPEL,AGILA,20170623,stationwagen,ROOD,Niet geregistreerd,3,950,1050,20120628,20120628,Geen verstrekking in Open Data,Ja,4,4,0,0,374,0,M1,1485,0,0.05,236,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2017-06-23T00:00:00.000,2012-06-28T00:00:00.000,2012-06-28T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. schroefveerkoker onder motorkap,20230628,2023-06-28T00:00:00.000,,,,5,996,1485,,,12365,e4*2001/116*0135*11,AE11,3AAAA1AAAA5,0,,A,H-B,,
403,03XPJ3,Personenauto,OPEL,ASTRA,20170428,MPV,ROOD,Niet geregistreerd,4,1390,1490,20120629,20120629,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,1965,0,0.09,269,Nee,Nee,Nee,3510,2022,Logisch,00,Ja,2017-04-28T00:00:00.000,2012-06-29T00:00:00.000,2012-06-29T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,by bodemplaat r. voorzitting,20230629,2023-06-29T00:00:00.000,,,6379,5,1598,1965,730,1500,29261,e1*2007/46*0141*06,BJ11,1A06A8ANEKE5,0,0.00,C,P-J,,
404,03XPSK,Personenauto,OPEL,VECTRA,20140830,sedan,ROOD,Niet geregistreerd,4,1295,1395,20070813,20070813,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,1870,0,0.07,270,Nee,Nee,Nee,3185,2022,Logisch,00,Ja,2014-08-30T00:00:00.000,2007-08-13T00:00:00.000,2007-08-13T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230825,2023-08-25T00:00:00.000,,,6903,5,1796,1870,685,1400,29190,e1*2001/116*0290*06,BW11,1A35ADDBSDA5,0,,C,,,
405,03XZH6,Personenauto,OPEL,ASTRA,20120920,MPV,ROOD,Niet geregistreerd,4,1403,1503,20120920,20120920,Geen verstrekking in Open Data,Ja,5,4,0,0,442,0,M1,2030,0,0.05,269,Nee,Nee,Nee,3290,2022,Logisch,00,Ja,2012-09-20T00:00:00.000,2012-09-20T00:00:00.000,2012-09-20T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,by bodemplaat r. voorzitting,20230920,2023-09-20T00:00:00.000,,,4178,5,1686,2030,730,1200,27728,e1*2007/46*0141*14,CAFCC12,BA1K2JKFA5,0,,A,P-J,,
406,03YB03,Personenauto,OPEL,GT US,20040804,coupe,ROOD,Niet geregistreerd,4,926,1026,19730228,20040804,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.07,244,Nee,Nee,Nee,0,2016,Geen oordeel,07,Ja,2004-08-04T00:00:00.000,1973-02-28T00:00:00.000,2004-08-04T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,r. op schutbord onder motorkap,20180907,2018-09-07T00:00:00.000,,0,,,1897,,,,,,,,,,,,,
407,03ZBFP,Personenauto,OPEL,ASTRA,20110323,hatchback,ROOD,Niet geregistreerd,4,1140,1240,20071128,20071128,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,1735,0,0.05,261,Nee,Nee,Nee,2790,2022,Logisch,00,Ja,2011-03-23T00:00:00.000,2007-11-28T00:00:00.000,2007-11-28T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230824,2023-08-24T00:00:00.000,,,4084,5,1364,1735,615,1000,20265,e1*2001/116*0261*12,BA11,1A12AJVAEG5,0,,B,,,
408,03ZFK5,Personenauto,OPEL,MERIVA,20200721,MPV,ROOD,Niet geregistreerd,4,1293,1393,20121027,20121027,Geen verstrekking in Open Data,Ja,4,4,0,0,429,0,M1,1930,0,0.06,264,Nee,Nee,Nee,3055,2022,Logisch,00,Ja,2020-07-21T00:00:00.000,2012-10-27T00:00:00.000,2012-10-27T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,r. voorzitting,20230721,2023-07-21T00:00:00.000,,,4576,5,1364,1930,680,1050,26399,e4*2007/46*0165*05,BD11,3AADA4CBBC5,0,0.00,A,S-D/ MONOCAB B,,
409,03ZHZS,Personenauto,OPEL,GT,20210213,cabriolet,ROOD,Niet geregistreerd,4,1306,1406,20080213,20080213,Geen verstrekking in Open Data,Ja,2,4,0,0,410,0,M1,1625,0,0.14,242,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2021-02-13T00:00:00.000,2008-02-13T00:00:00.000,2008-02-13T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op r. balk onder motorkap,20230202,2023-02-02T00:00:00.000,,,11263,2,1998,1625,,,43689,e13*2001/116*0170*02,ABAA,ABBAABBAA,0,,F,,,
410,03ZLPP,Personenauto,OPEL,ASTRA,20170930,hatchback,ROOD,Niet geregistreerd,4,1140,1240,20080326,20080326,Geen verstrekking in Open Data,Ja,4,4,0,0,0,0,M1,1735,0,0.05,261,Nee,Nee,Nee,2790,2022,Logisch,00,Ja,2017-09-30T00:00:00.000,2008-03-26T00:00:00.000,2008-03-26T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230525,2023-05-25T00:00:00.000,,,4143,5,1364,1735,615,1000,21884,e1*2001/116*0261*14,BA11,1A12AJVAEG5,0,,B,A-H,,
411,03ZTR8,Personenauto,OPEL,CORSA,20161114,MPV,ROOD,Niet geregistreerd,4,1063,1163,20130208,20130208,Geen verstrekking in Open Data,Ja,0,4,0,0,0,0,M1,1625,0,0.05,251,Nee,Nee,Nee,2455,2021,Logisch,00,Ja,2016-11-14T00:00:00.000,2013-02-08T00:00:00.000,2013-02-08T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20221111,2022-11-11T00:00:00.000,,,3000,5,1229,1625,500,850,14475,e1*2001/116*0379*22,KN11,4AACD5B2BDA5,0,0.00,B,S-D,,
412,03ZVN2,Personenauto,OPEL,ADAM,20210612,hatchback,ROOD,Niet geregistreerd,4,1020,1120,20130221,20130221,Geen verstrekking in Open Data,Ja,0,4,0,0,370,0,M1,1480,0,0.06,231,Nee,Nee,Nee,0,2022,Logisch,00,Ja,2021-06-12T00:00:00.000,2013-02-21T00:00:00.000,2013-02-21T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230725,2023-07-25T00:00:00.000,,,3000,4,1398,1480,,,17471,e1*2001/116*0379*22,UP11,4B06E4C5PHR4,0,,B,S-D,,
413,0411HT,Personenauto,OPEL,GT,19990320,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690224,19690224,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2015,Geen oordeel,01,Ja,1999-03-20T00:00:00.000,1969-02-24T00:00:00.000,1969-02-24T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot,,,,,,,,,,,,,,,,,,,,
414,0413JA,Personenauto,OPEL,GT,19941217,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690908,19690908,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,,Niet geregistreerd,NG,Ja,1994-12-17T00:00:00.000,1969-09-08T00:00:00.000,1969-09-08T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot motorkap,,,,,,,,,,,,,,,,,,,,
415,0419HT,Personenauto,OPEL,GT,20110112,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690226,19690226,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2020,Geen oordeel,01,Ja,2011-01-12T00:00:00.000,1969-02-26T00:00:00.000,1969-02-26T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot motorkap,,,,,,,,,,,,,,,,,,,,
416,0425JA,Personenauto,OPEL,GT,20070914,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19691003,19691003,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2012,Geen oordeel,01,Ja,2007-09-14T00:00:00.000,1969-10-03T00:00:00.000,1969-10-03T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,,,,,,
417,0426JA,Personenauto,OPEL,GT,19941129,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19691003,19691003,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2021,Geen oordeel,01,Ja,1994-11-29T00:00:00.000,1969-10-03T00:00:00.000,1969-10-03T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op voorruit in watergoot,,,,0,,,,,,,,,,,,,,,,
418,0429JA,Personenauto,OPEL,GT,20020109,coupe,ROOD,Niet geregistreerd,4,930,1030,19691120,19691120,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2019,Geen oordeel,01,Ja,2002-01-09T00:00:00.000,1969-11-20T00:00:00.000,1969-11-20T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot,,,,0,,,,,,,,,,,,,,,,
419,0436HT,Personenauto,OPEL,GT,20131227,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690225,19690225,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2011,Geen oordeel,01,Ja,2013-12-27T00:00:00.000,1969-02-25T00:00:00.000,1969-02-25T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,,,,,,
420,0438HT,Personenauto,OPEL,GT,19870425,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19691017,19691017,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,,Niet geregistreerd,NG,Ja,1987-04-25T00:00:00.000,1969-10-17T00:00:00.000,1969-10-17T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot motorkap,,,,,,,,,,,,,,,,,,,,
421,0440JA,Personenauto,OPEL,GT,20200806,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19691030,19691030,Geen verstrekking in Open Data,Ja,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,,Niet geregistreerd,NG,Ja,2020-08-06T00:00:00.000,1969-10-30T00:00:00.000,1969-10-30T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,in watergoot onder voorruit onder motorkap,,,,,,,,,,,,,,,,,,,,
422,0450JA,Personenauto,OPEL,GT,19860328,Niet geregistreerd,ROOD,Niet geregistreerd,4,960,1060,19691105,19691105,Geen verstrekking in Open Data,Nee,2,4,,,,,M1,,,0.00,243,Nee,Nee,Nee,,1998,Geen oordeel,06,Ja,1986-03-28T00:00:00.000,1969-11-05T00:00:00.000,1969-11-05T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot motorkap,,,,0,,,,,,,,,,,,,,,,
423,0452HT,Personenauto,OPEL,GT,20100722,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690320,19690320,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,,Niet geregistreerd,NG,Ja,2010-07-22T00:00:00.000,1969-03-20T00:00:00.000,1969-03-20T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot motorkap,,,,,,,,,,,,,,,,,,,,
424,0453HT,Personenauto,OPEL,GT,19800730,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690306,19690306,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,,Niet geregistreerd,NG,Ja,1980-07-30T00:00:00.000,1969-03-06T00:00:00.000,1969-03-06T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,,,,,,,,,,,,,,,,,,,,,
425,0460VT,Personenauto,OPEL,MANTA,19841030,Niet geregistreerd,ROOD,Niet geregistreerd,6,1220,1320,19721207,19721207,Geen verstrekking in Open Data,Ja,2,4,,,,,M1,,,0.00,244,Nee,Nee,Nee,,2020,Logisch,00,Ja,1984-10-30T00:00:00.000,1972-12-07T00:00:00.000,1972-12-07T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,r. in watergoot onder motorkap,20221018,2022-10-18T00:00:00.000,,0,,,,,,,,,,,,,,,,
426,0465HT,Personenauto,OPEL,GT,19980417,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19690318,19690318,Geen verstrekking in Open Data,Nee,2,4,0,0,0,0,M1,0,0,0.00,243,Nee,Nee,Nee,0,2006,Geen oordeel,01,Ja,1998-04-17T00:00:00.000,1969-03-18T00:00:00.000,1969-03-18T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot onder motorkap,,,,0,,,,,,,,,,,,,,,,
427,0499XK,Personenauto,OPEL,GT,20220114,Niet geregistreerd,ROOD,Niet geregistreerd,4,930,1030,19730202,19730202,Geen verstrekking in Open Data,Ja,2,4,,,,,M1,,,0.00,243,Nee,Nee,Nee,,2022,Geen oordeel,01,Ja,2022-01-14T00:00:00.000,1973-02-02T00:00:00.000,1973-02-02T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,onder voorruit in watergoot motorkap,20231212,2023-12-12T00:00:00.000,,,,,,,,,,,,,,,,,,
428,04DFHL,Personenauto,OPEL,ASTRA-G-CC,20040622,hatchback,ROOD,Niet geregistreerd,4,1055,1155,19990715,19990715,Geen verstrekking in Open Data,Ja,4,4,0,0,411,0,M1,1625,1,0.05,261,Nee,Nee,Nee,2775,2022,Logisch,00,Ja,2004-06-22T00:00:00.000,1999-07-15T00:00:00.000,1999-07-15T00:00:00.000,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json,op bodemplaat by r. voorzitting,20230511,2023-05-11T00:00:00.000,,,3089,5,1598,1625,570,1000,,e1*98/14*0086*03,CC11,2A28AM33FDB5,0,,,,,
